Date,Open,High,Low,Close,Share Volume
03 Mar 1998,700.45,700.45,700.45,700.45,0
04 Mar 1998,701.15,701.15,701.15,701.15,0
05 Mar 1998,704.15,704.15,704.15,704.15,0
06 Mar 1998,704.31,704.31,704.31,704.31,0
09 Mar 1998,702.19,702.19,702.19,702.19,0
10 Mar 1998,704.17,704.17,704.17,704.17,0
11 Mar 1998,706.97,706.97,706.97,706.97,0
13 Mar 1998,707.23,707.23,707.23,707.23,0
16 Mar 1998,708.42,708.42,708.42,708.42,0
17 Mar 1998,710.29,710.29,710.29,710.29,0
18 Mar 1998,707.99,707.99,707.99,707.99,0
19 Mar 1998,715.98,715.98,715.98,715.98,0
20 Mar 1998,717.28,717.28,717.28,717.28,0
23 Mar 1998,711.89,711.89,711.89,711.89,0
24 Mar 1998,713.3,713.3,713.3,713.3,0
25 Mar 1998,715.76,715.76,715.76,715.76,0
26 Mar 1998,715.5,715.5,715.5,715.5,0
27 Mar 1998,714.77,714.77,714.77,714.77,0
30 Mar 1998,715.43,715.43,715.43,715.43,0
31 Mar 1998,712.77,712.77,712.77,712.77,0
01 Apr 1998,711.23,711.23,711.23,711.23,0
02 Apr 1998,707.13,707.13,707.13,707.13,0
03 Apr 1998,705.01,705.01,705.01,705.01,0
06 Apr 1998,704.13,704.13,704.13,704.13,0
07 Apr 1998,705.31,705.31,705.31,705.31,0
08 Apr 1998,706.43,706.43,706.43,706.43,0
09 Apr 1998,710.69,710.69,710.69,710.69,0
15 Apr 1998,710.85,710.85,710.85,710.85,0
16 Apr 1998,723.17,723.17,723.17,723.17,0
17 Apr 1998,729.67,729.67,729.67,729.67,0
20 Apr 1998,734.26,734.26,734.26,734.26,0
21 Apr 1998,742.71,742.71,742.71,742.71,0
22 Apr 1998,762.22,762.22,762.22,762.22,0
23 Apr 1998,775.39,775.39,775.39,775.39,0
24 Apr 1998,778.92,778.92,778.92,778.92,0
27 Apr 1998,772.02,772.02,772.02,772.02,0
28 Apr 1998,767.93,767.93,767.93,767.93,0
29 Apr 1998,773.52,773.52,773.52,773.52,0
30 Apr 1998,782.05,782.05,782.05,782.05,0
04 May 1998,789.65,789.65,789.65,789.65,0
05 May 1998,787.96,787.96,787.96,787.96,0
06 May 1998,777.61,777.61,777.61,777.61,0
07 May 1998,772.78,772.78,772.78,772.78,0
08 May 1998,777.71,777.71,777.71,777.71,0
13 May 1998,777.27,777.27,777.27,777.27,0
14 May 1998,754.84,754.84,754.84,754.84,0
15 May 1998,742.08,742.08,742.08,742.08,0
18 May 1998,746.64,746.64,746.64,746.64,0
19 May 1998,736.06,736.06,736.06,736.06,0
20 May 1998,717.45,717.45,717.45,717.45,0
21 May 1998,719.79,719.79,719.79,719.79,0
22 May 1998,727.54,727.54,727.54,727.54,0
25 May 1998,730.6,730.6,730.6,730.6,0
26 May 1998,726.35,726.35,726.35,726.35,0
27 May 1998,718.8,718.8,718.8,718.8,0
28 May 1998,700.08,700.08,700.08,700.08,0
29 May 1998,682.32,682.32,682.32,682.32,0
01 Jun 1998,668.17,668.17,668.17,668.17,0
02 Jun 1998,682.56,682.56,682.56,682.56,0
03 Jun 1998,685.88,685.88,685.88,685.88,0
04 Jun 1998,677.37,677.37,677.37,677.37,0
05 Jun 1998,667.92,667.92,667.92,667.92,0
